證券代號,證券名稱,本週股額,上週股額,增減數額,增減比率,發行比率(剩餘比率),2025-11-21 00:00:00
,,(A),(B),(A-B),(A-B)/B,(%),
50097.0,榮剛七,49999,49999,0,0,99.99,
52011.0,凱衛一,1000,1000,0,0,100,
52091.0,新鼎一,2996,2996,0,0,99.86,
52121.0,凌網一,4000,4000,0,0,100,
52251.0,東科一KY,5,180,-175,-97.22,0.14,
52303.0,雷笛克光學三,596,596,0,0,19.86,
52441.0,弘凱一,4863,4863,0,0,97.26,
52452.0,智晶二,2952,2952,0,0,98.4,
52635.0,智崴五,4037,4037,0,0,50.46,
53064.0,桂盟四,9999,9999,0,0,99.99,
53095.0,系統電五,455,455,0,0,9.1,
53211.0,美而快一,2000,2000,0,0,100,
53887.0,中磊七,30000,30000,0,0,100,
54342.0,崇越二,3105,3105,0,0,31.05,
54391.0,高技一,20000,20000,0,0,100,
54501.0,南良一,4998,4998,0,0,99.96,
54573.0,宣德三,20000,20000,0,0,100,
55433.0,桓鼎三KY,1000,1000,0,0,100,
55434.0,桓鼎四KY,1000,1000,0,0,100,
56086.0,四維航六,4999,4999,0,0,99.98,
56087.0,四維航七,6000,6000,0,0,100,
59055.0,南仁湖四,1986,1986,0,0,33.1,
60151.0,宏遠證一,1244,1244,0,0,17.77,
60152.0,宏遠證二,1650,1650,0,0,27.5,
61041.0,創惟一,4368,4368,0,0,87.36,
61112.0,大宇資二,3000,3000,0,0,100,
61171.0,迎廣一,2008,2008,0,0,40.16,
61172.0,迎廣二,4742,4742,0,0,94.84,
61255.0,廣運五,5700,5700,0,0,95,
61263.0,信音三,1990,1990,0,0,39.8,
61394.0,亞翔四,342,342,0,0,6.84,
61506.0,撼訊六,4000,4000,0,0,100,
61565.0,松上五,3500,3500,0,0,100,
61635.0,華電網五,3000,3000,0,0,100,
61777.0,達麗七,6000,6000,0,0,100,
61793.0,亞通三,473,473,0,0,15.76,
61794.0,亞通四,5954,5954,0,0,99.23,
61827.0,合晶七,2976,2976,0,0,99.2,
61828.0,合晶八,15000,15000,0,0,100,
61843.0,大豐電三,13065,13065,0,0,87.1,
61875.0,萬潤五,2204,2204,0,0,44.08,
61894.0,豐藝四,1248,1248,0,0,24.96,
61907.0,萬泰科七,10000,10000,0,0,100,
61965.0,帆宣五,2594,2697,-103,-3.81,10.37,
61973.0,佳必琪三,10000,10000,0,0,100,
62075.0,雷科五,6000,6000,0,0,100,
62076.0,雷科六,2000,2000,0,0,100,
62093.0,今國光三,4500,4500,0,0,100,
62194.0,富旺四,6000,6000,0,0,100,
62235.0,旺矽五,6818,10482,-3664,-34.95,19.48,
62433.0,迅杰三,3000,3000,0,0,100,
62695.0,台郡五,20000,20000,0,0,100,
62696.0,台郡六,10000,10000,0,0,100,
62745.0,台燿五,40000,40000,0,0,100,
62756.0,元山六,156,181,-25,-13.81,5.2,
62822.0,康舒二,40000,40000,0,0,100,
62843.0,佳邦三,7000,7000,0,0,100,
629010.0,良維十,1238,1310,-72,-5.49,15.47,
64145.0,樺漢五,29997,29997,0,0,99.99,
64146.0,樺漢六,10000,10000,0,0,66.66,
64251.0,易發一,1553,1553,0,0,77.65,
64324.0,今展科四,2175,2225,-50,-2.24,87,
64512.0,訊芯二KY,25000,25000,0,0,100,
64693.0,大樹三,10000,10000,0,0,100,
64773.0,安集三,1931,1931,0,0,38.62,
64774.0,安集四,374,374,0,0,3.74,
64775.0,安集五,6000,6000,0,0,100,
65096.0,聚和六,5000,5000,0,0,100,
65331.0,晶心科一,15000,15000,0,0,100,
65381.0,倉和一,3000,3000,0,0,100,
65461.0,正基一,5036,5036,0,0,83.93,
65521.0,易華電一,5000,5000,0,0,100,
65841.0,南俊國際一,2231,2985,-754,-25.25,31.87,
65842.0,南俊國際二,1999,2249,-250,-11.11,66.63,
65851.0,鼎基一,2731,2731,0,0,54.62,
65852.0,鼎基二,806,806,0,0,40.3,
65914.0,動力四KY,2500,2500,0,0,100,
65931.0,台灣銘板一,348,348,0,0,11.6,
66163.0,特昇三KY,1070,1070,0,0,89.16,
66241.0,萬年清一,1000,1000,0,0,100,
66292.0,泰金二KY,2934,2934,0,0,97.8,
66411.0,基士德一KY,814,814,0,0,27.13,
66451.0,金萬林一創,700,700,0,0,100,
66642.0,群翊二,12500,12500,0,0,100,
66801.0,鑫創電子一,3122,3122,0,0,89.2,
67062.0,惠特二,5000,5000,0,0,100,
67152.0,嘉基二,3000,3000,0,0,100,
67531.0,龍德造船一,5217,5217,0,0,52.17,
67681.0,志強一KY,5910,5910,0,0,59.1,
67711.0,平和環保一創,3500,3500,0,0,100,
67961.0,晉弘一,2000,2000,0,0,100,
68041.0,明係一,1991,1991,0,0,99.55,
68061.0,森崴能源一,20318,20318,0,0,67.72,
68211.0,聯寶一,3000,3000,0,0,100,
68231.0,濾能一,1,1,0,0,0.04,
68301.0,汎銓一,4999,4999,0,0,99.98,
68351.0,圓裕一,6000,6000,0,0,100,
68401.0,東研信超一,1995,1995,0,0,99.75,
68431.0,進典一,3000,3000,0,0,100,
68461.0,綠茵一,3490,3490,0,0,99.71,
68462.0,綠茵二,3489,3489,0,0,99.68,
68541.0,錼創科技一KY創,8000,8000,0,0,100,
68631.0,永道一KY,10000,10000,0,0,100,
68701.0,騰雲一,3500,3500,0,0,100,
68702.0,騰雲二,3499,3499,0,0,99.97,
68731.0,泓德能源一,235,235,0,0,2.35,
68732.0,泓德能源二,30000,30000,0,0,100,
68741.0,倍力一,3000,3000,0,0,100,
69571.0,裕慶一KY,10000,10000,0,0,100,
69821.0,大井泵浦一,2994,2994,0,0,99.8,
69822.0,大井泵浦二,1990,1990,0,0,99.5,
74022.0,邑錡二,4000,4000,0,0,100,
75561.0,意德士一永,1000,1000,0,0,100,
75562.0,意德士二,2000,2000,0,0,100,
77131.0,威力德生醫一,5000,5000,0,0,100,
80273.0,鈦昇三,3572,3572,0,0,35.72,
80282.0,昇陽半導體二,16603,16603,0,0,83.01,
80506.0,廣積六,7577,7577,0,0,47.35,
80872.0,麗升能源二,4979,4979,0,0,99.58,
80914.0,翔名四,5500,5500,0,0,100,
80924.0,建暐四,924,924,0,0,54.35,
81042.0,錸寶二,839,839,0,0,13.98,
811210.0,至上十,30000,30000,0,0,100,
81473.0,正淩三,2988,2988,0,0,99.6,
81551.0,博智一,8950,8961,-11,-0.12,89.5,
81714.0,天宇四,2500,2500,0,0,100,
81715.0,天宇五,2368,2368,0,0,94.72,
82551.0,朋程一,7999,7999,0,0,99.98,
82992.0,群聯二,28889,34684,-5795,-16.7,48.14,
83742.0,羅昇二,5000,5000,0,0,100,
84041.0,百和興業一KY,10000,10000,0,0,100,
84113.0,福貞三KY,12000,12000,0,0,100,
84221.0,可寧衛一,14476,17702,-3226,-18.22,57.9,
84222.0,可寧衛二,19997,20000,-3,-0.01,99.98,
84331.0,弘帆一,1269,1269,0,0,42.3,
84332.0,弘帆二,1000,1000,0,0,100,
84333.0,弘帆三,4000,4000,0,0,100,
84422.0,威宏二KY,3615,3615,0,0,90.37,
84623.0,柏文三,2670,2670,0,0,89,
84662.0,美吉吉二KY,252,252,0,0,5.04,
84672.0,波力二KY,1160,1160,0,0,55.23,
84673.0,波力三KY,3633,3633,0,0,93.15,
84732.0,山林水二,2488,2488,0,0,24.88,
84781.0,東哥遊艇一,15000,15000,0,0,100,
84881.0,吉源一KY,3000,3000,0,0,100,
84891.0,三貝德一,2027,2027,0,0,67.56,
89277.0,北基七,5900,5900,0,0,100,
89278.0,北基八,4998,4998,0,0,99.96,
89964.0,高力四,2678,2678,0,0,26.78,
98026.0,鈺齊六KY,9998,9998,0,0,99.98,
99063.0,欣巴巴三,7000,7000,0,0,100,
99332.0,中鼎二,59999,59999,0,0,99.99,
99353.0,慶豐富三,3000,3000,0,0,100,
99392.0,宏全二,39999,39999,0,0,99.99,
99412.0,裕融二,80000,80000,0,0,100,
99587.0,世紀鋼七,40000,40000,0,0,100,
99588.0,世紀鋼八永,20000,20000,0,0,100,
